0.0,0.0,0.0
0.0,0.04613,0.47221
0.0,-0.04618,0.44447
0.0,0.13073,0.22224
0.0,0.06153,0.63888
0.0,-0.13079,0.27778
0.0,0.18457,0.30556
0.01317,-0.15392,0.75
0.01317,-0.26159,0.55556
0.01317,-0.00768,0.36112
0.01317,-0.20004,0.05554
0.01317,-0.10771,0.05554
0.01317,0.19224,0.36112
0.01317,0.09989,0.0
0.01317,0.30761,0.36112
0.01317,-0.43844,0.33332
0.01317,-0.18467,0.33332
0.02632,-0.10771,0.30556
0.02632,0.12298,0.63888
0.02632,-0.04618,0.41666
0.02632,0.11528,0.47221
0.02632,0.09989,0.05554
0.03949,-0.66156,0.30556
0.03949,-0.03854,-0.05555
0.03949,0.09224,0.16665
0.03949,0.48449,0.44447
0.03949,-0.1385,0.22224
0.05264,-0.15392,0.1389
0.05264,-0.20004,0.41666
0.05264,0.06918,0.55556
0.06582,0.24605,0.11112
0.06582,0.21528,0.19448
0.06582,0.39223,0.47221
0.06582,-0.2847,0.61111
0.07895,0.26912,0.52778
0.07895,0.43836,0.41666
0.09213,0.19991,0.25
0.09213,0.82297,0.11112
0.09213,0.33839,0.63888
0.09213,0.50756,0.0
0.10528,0.53833,0.27778
0.10528,0.37679,0.44447
0.10528,0.82297,0.47221
0.10528,0.24605,0.61111
0.10528,0.17679,0.22224
0.11843,0.53064,0.02779
0.11843,0.6076,0.19448
0.11843,0.31528,0.38887
0.11843,0.39995,0.08333
0.11843,0.22293,0.33332
0.11843,0.10762,0.05554
0.11843,0.13838,0.19448
0.11843,0.19991,0.30556
0.11843,0.72297,0.27778
0.11843,-0.66156,0.16665
0.1316,0.08459,0.25
0.14475,0.1538,0.41666
0.14475,0.48449,0.49998
0.14475,0.70756,0.1389
0.14475,0.70756,0.38887
0.14475,0.48449,-0.02778
0.1579,0.33839,0.41666
0.1579,0.40766,0.1389
0.1579,0.93063,0.47221
0.1579,0.00759,0.49998
0.17106,0.19224,0.16665
0.17106,0.39995,0.58335
0.17106,0.38453,0.33332
0.18422,0.58454,0.61111
0.18422,0.85371,0.1389
0.18422,0.63834,0.11112
0.40789,-0.66156,0.49998
0.61843,-0.66156,1.0
0.71053,-0.66156,0.94444
1.0,-0.66156,0.77782
0.11841,0.67648,0.52172
0.11841,0.61033,0.73913
0.10524,0.22062,0.78262
0.10524,0.54409,0.5652
0.10524,0.55881,1.0
0.10524,0.59559,0.91308
0.10524,0.42649,0.95652
0.10524,0.66175,0.47828
0.10524,1.0,0.30433
0.10524,0.50734,0.5652
0.09209,0.31624,0.6522
0.09209,0.72797,0.43472
0.09209,0.57358,0.0
0.09209,0.3971,0.2174
0.09209,0.38235,0.78262
0.09209,0.33821,0.47828
0.07893,0.76473,0.34782
0.07893,0.35295,0.30433
0.07893,0.26477,0.39127
0.07893,0.34562,0.47828
0.07893,0.33821,0.6522
0.07893,0.16178,0.43472
0.07893,0.70584,0.17389
0.07893,0.42649,0.04342
0.06577,0.51471,0.34782
0.06577,0.19854,0.08695
0.06577,-0.27197,0.43472
0.06577,0.53677,0.78262
0.06577,0.70584,0.91308
0.06577,0.33091,0.52172
0.06577,0.59559,0.13045
0.06577,0.24271,0.08695
0.05263,0.31624,0.30433
0.05263,0.36763,0.17389
0.05263,0.37501,0.95652
0.05263,0.41176,0.26085
0.05263,0.43386,0.26085
0.05263,0.19854,0.95652
0.05263,0.49266,-0.17396
0.03946,0.33091,0.52172
0.03946,0.43386,0.17389
0.0263,0.31624,0.34782
0.0263,0.01474,0.43472
0.0263,0.29415,0.78262
0.01315,-0.25728,-0.04347
0.01315,0.73527,0.2174
0.01315,0.35295,0.26085
0.01315,0.19123,0.34782
0.0,0.02207,0.39127
0.0,0.11033,-0.13046
0.0,0.20589,0.5652
0.0,0.0441,0.73913
